,¿ù,ÀÏ,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,sum,year
119,4,30,0,0,0,0,0,0.0,37.32,147.0,287.16,614.16,912.84,877.8,1015.08,1076.76,989.16,813.36,685.92,334.2,79.68,1.56,0.0,0.0,0.0,0.0,7906.0,2013
120,5,1,0,0,0,0,0,0.0,73.32,211.92,613.8,895.92,1084.08,1190.76,1260.24,1228.08,1114.92,933.72,648.6,342.72,119.76,1.32,0.0,0.0,0.0,0.0,9725.16,2013
121,5,2,0,0,0,0,0,0.12,74.28,323.28,651.12,923.52,1123.2,1258.56,1268.52,1211.04,1084.32,895.08,625.92,310.32,80.76,1.32,0.0,0.0,0.0,0.0,9838.36,2013
122,5,3,0,0,0,0,0,0.0,37.68,192.84,542.76,871.2,1053.84,1125.48,1182.24,1126.08,683.76,764.76,417.6,192.48,53.04,1.08,0.0,0.0,0.0,0.0,8252.84,2013
123,5,4,0,0,0,0,0,0.0,74.04,309.48,641.4,923.76,1087.8,1188.48,1285.32,1240.56,1138.68,955.56,671.76,348.36,85.2,1.68,0.0,0.0,0.0,0.0,9961.08,2013
124,5,5,0,0,0,0,0,0.0,45.48,209.64,562.92,911.64,1113.6,1220.76,1222.32,1233.96,1148.76,972.84,688.8,362.28,86.4,1.92,0.0,0.0,0.0,0.0,9791.32,2013
125,5,6,0,0,0,0,0,0.12,77.76,337.92,669.48,935.52,1126.32,1273.32,1170.48,1136.52,1111.2,915.48,645.6,327.48,81.24,2.16,0.0,0.0,0.0,0.0,9821.6,2013
126,5,7,0,0,0,0,0,0.36,74.64,288.24,575.76,832.32,1004.88,1139.88,1178.28,1155.24,1029.96,850.56,562.32,306.72,71.52,3.6,0.0,0.0,0.0,0.0,9086.28,2013
127,5,8,0,0,0,0,0,2.64,108.36,290.88,623.52,807.6,1004.76,1157.16,1173.72,1169.4,1059.72,854.64,556.68,246.36,80.52,2.4,0.0,0.0,0.0,0.0,9151.36,2013
128,5,9,0,0,0,0,0,0.0,38.76,98.52,184.92,355.44,373.32,597.48,353.16,394.8,427.56,323.16,116.04,26.28,4.56,0.0,0.0,0.0,0.0,0.0,3308.0,2013
